DATE,OPEN,HIGH,LOW,CLOSE
2018-01-01,1.1858,1.20255,1.18423,1.1994
2018-01-08,1.19966,1.209,1.19912,1.20246
2018-01-15,1.20245,1.2218799999999999,1.1914,1.2195200000000002
2018-01-22,1.21951,1.23232,1.21638,1.22691
2018-01-29,1.2269,1.25378,1.2213,1.2423
2018-02-05,1.2423,1.25229,1.2334,1.24326
2018-02-12,1.24325,1.24749,1.2204,1.2245
2018-02-19,1.2244,1.25556,1.2233,1.2398
2018-02-26,1.2398,1.2435200000000002,1.22579,1.2289299999999999
2018-03-05,1.22892,1.2356,1.2153,1.23556
2018-03-12,1.23557,1.24462,1.2267,1.23105
2018-03-19,1.2313,1.24127,1.22596,1.22827
2018-03-26,1.22889,1.239,1.2237,1.2348
2018-04-02,1.23527,1.24765,1.2282,1.2320200000000001
2018-04-09,1.23254,1.2345,1.2214,1.2285
2018-04-16,1.22838,1.2396399999999999,1.2259,1.2331299999999998
2018-04-23,1.2329299999999999,1.24137,1.2249,1.2271100000000001
2018-04-30,1.22716,1.229,1.2053,1.21218
2018-05-07,1.2128299999999999,1.214,1.1909,1.1956
2018-05-14,1.1963,1.1978,1.1821,1.194
2018-05-21,1.1937,1.19961,1.1749,1.17705
2018-05-28,1.17679,1.183,1.1644,1.16845
2018-06-04,1.1686,1.173,1.1509,1.1659
2018-06-11,1.1658899999999999,1.184,1.1651,1.1774
2018-06-18,1.17723,1.18518,1.1542,1.1586
2018-06-25,1.15875,1.1675,1.1507,1.1664
2018-07-02,1.1664,1.17205,1.1526,1.16757
2018-07-09,1.1675,1.17678,1.159,1.1741
2018-07-16,1.17404,1.17908,1.1611,1.1688
2018-07-23,1.16893,1.1744700000000001,1.1574,1.17255
2018-07-30,1.17248,1.1751200000000002,1.1619,1.1657
2018-08-06,1.16561,1.17459,1.1559,1.1568399999999999
2018-08-13,1.1567,1.16282,1.1367,1.1372
2018-08-20,1.137,1.14449,1.13,1.1437
2018-08-27,1.14372,1.1639899999999999,1.1393,1.16162
2018-09-03,1.16151,1.17335,1.1583,1.1595
2018-09-10,1.15949,1.16593,1.1529,1.1548
2018-09-17,1.1548,1.17216,1.1525,1.1623
2018-09-24,1.1623,1.1802700000000002,1.1617,1.1744
2018-10-01,1.17446,1.18153,1.1569,1.16162
2018-10-08,1.16159,1.16246,1.1462,1.15209
2018-10-15,1.15202,1.16105,1.1429,1.15403
2018-10-22,1.1541,1.16215,1.1432,1.15155
2018-10-29,1.1514799999999998,1.1550200000000002,1.1334,1.13901
